account,risk_score,is_laundering,community_size,anomaly_score
70_100428810,0.99859375,1,69,0.7095858691924946
70_100428780,0.99848926,1,134,0.7854163540498982
70_100428738,0.9982798,1,107,0.7583860693517044
70_1004286F0,0.9978131,1,138,0.7494121638775204
70_100428660,0.9973907,1,1496,0.7758781305444128
70_1004286A8,0.99728703,1,889,0.7649321575599707
1_800AAF0B0,0.9916984,1,23,0.4322622371123911
70_1004287C8,0.9916612,1,148,0.7774545754806523
21174_800737690,0.990326,1,23,0.5882578441399331
12_80011F990,0.9839549,1,23,0.5454233083895915
410_8002CC310,0.9781148,1,23,0.7365213799235327
10_8001BB380,0.9779091,1,3,0.6781892194997335
20_80006A5E0,0.97671777,1,23,0.5484220840445467
10_800692550,0.97186893,1,23,0.4474559608557971
1292_8004030A0,0.96710247,1,23,0.47541937763937236
220_8007A5B70,0.9662773,1,23,0.5085114500454571
1244_80093C0D0,0.96494585,1,23,0.44350401896350233
513_80078E200,0.9645364,1,23,0.429950755642688
22_800181850,0.9600816,1,9,0.5655525803128477
1674_801009860,0.95675033,1,11,0.6435425880369336
20_8001B0770,0.9560613,1,3,0.54845895318643
10_800449990,0.9555919,1,23,0.5178338345862129
10_800119810,0.9546774,1,2,0.459759643238293
20_80066B990,0.9512741,1,23,0.5064886307704157
213952_806D47B10,0.95007354,1,11,0.43746482609377124
14099_801F8CCB0,0.9495781,1,1,0.31447584253940275
1024_8009FD760,0.9484598,1,1,0.31447584253940275
26442_80AEBECB0,0.9483691,1,1,0.3147114978794707
5464_802125640,0.947652,1,1,0.31447584253940275
2591_800926A30,0.94750625,1,889,0.5156710931487442
22_802630CB0,0.9444576,0,1,0.31447584253940275
10656_8044072A0,0.94269466,1,107,0.6419256759200508
3242_8015CC830,0.9424096,1,1,0.31178949429931335
213952_80D339EE0,0.94118935,0,1,0.31447584253940275
21387_811B121C0,0.9377501,1,1,0.3077148427632307
1124_800825340,0.93508404,1,1496,0.5397240767730384
3149_802BC1300,0.93476975,0,1,0.31447584253940275
21745_800A75B90,0.9346575,1,1,0.49780414236473847
152980_8140702D0,0.93368596,1,1496,0.5880425047713594
20_80020C5B0,0.93329465,1,23,0.3998675953718417
135981_80F984C70,0.9329458,1,1,0.38038349619243217
20_800060420,0.932931,1,4,0.4756181876280551
32375_80E480620,0.9324944,1,1496,0.5463569877805176
218755_80746F010,0.93198615,0,1,0.3077148427632307
1124_805F9C820,0.931187,1,1,0.345745655775321
12735_80D0C53F0,0.93048304,1,1,0.3077148427632307
12_800054B70,0.93002963,1,2,0.5272888434843169
6010_808D37A20,0.9296296,0,1,0.31178949429931335
113685_8113D3660,0.9284305,1,1,0.3074606236827407
71_804ABCE90,0.92835855,1,9,0.6662517291589826
10_8001A6140,0.9281136,1,1,0.3532982247645656
28800_80C988190,0.9272634,1,1,0.3077148427632307
212789_805481330,0.9258577,0,1,0.31447584253940275
11852_800AEBA90,0.92533636,1,23,0.4078454154240123
21575_801A58F80,0.9251535,1,2,0.4281903032067374
140488_80F601970,0.92411566,0,1,0.3456669083617765
17729_806B789C0,0.92351943,0,1,0.31447584253940275
218202_80BCBEBE0,0.92330873,0,1,0.36790315821297087
11056_80D53AB60,0.92285776,1,1,0.3074606236827407
